MIN,PF,STL,PTS,FGM,FGA,BLK,BLKA,PLUS_MINUS,PFD,TOV,DREB,REB,OREB,FTM,FTA,EXP,POSS,AGE,HEIGHT,WEIGHT,BMI,USG_PCT,PIE,E_OFF_RATING,E_DEF_RATING,AST_TO,AST_RATIO,FG3M,FG3A,AST,PFD,Games Missed
310.9,22,10,136,54,121,3,8,18,13,14,36,50,14,15,23,1.0,701,23,78.0,179.0,20.68326758711374,0.18,0.076,109.9,106.2,1.43,12.1,13,50,20,13,0
614.2816666666666,49,9,252,83,196,4,3,50,20,12,55,64,9,17,19,1.0,1269,24,76.0,190.0,23.125,0.15,0.068,115.2,111.2,2.5,12.3,69,169,30,20,4
170.73,6,1,48,18,62,2,3,-51,1,8,16,18,2,2,2,1.0,381,20,78.0,220.0,25.42077580539119,0.167,0.017,106.9,121.7,0.63,6.6,10,39,5,1,25
2296.81,142,56,1013,398,716,45,57,423,223,105,297,471,174,177,269,9.0,4697,28,80.0,235.0,25.81328125,0.174,0.103,118.5,110.4,2.47,21.7,40,138,259,223,9
1269.2966666666666,125,42,514,186,417,6,20,85,65,53,100,123,23,58,63,5.0,2706,27,72.0,185.0,25.087770061728396,0.158,0.078,111.0,108.0,2.64,22.1,84,217,140,65,0
1994.655,241,65,877,315,635,49,51,161,145,64,212,275,63,107,137,3.0,4249,24,78.0,215.0,24.843030900723207,0.158,0.071,117.7,113.9,1.69,12.5,140,334,108,145,10
1227.9383333333333,91,56,542,212,377,19,33,94,59,56,126,186,60,56,71,2.0,2556,25,77.0,190.0,22.528250969809413,0.163,0.096,116.5,108.9,1.54,15.6,62,126,86,59,0
14.016666666666667,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0.0,31,24,75.0,180.0,22.496,0.212,0.013,116.0,110.5,0.0,36.4,1,6,4,0,0
65.76166666666667,5,1,36,14,27,0,2,34,7,5,17,36,19,8,12,0.0,144,22,81.0,245.0,26.251333638164915,0.21,0.149,118.7,95.6,0.0,0.0,0,0,0,7,0
84.35833333333333,9,1,26,10,26,0,3,-13,3,5,14,17,3,0,2,3.0,177,27,77.0,241.0,28.575307809074044,0.167,0.063,94.8,97.7,1.4,17.9,6,16,7,3,1
